id;userId;userName;text;retweetCount;creationDate;favoriteCount;textHash
785786884177793024;837578882;"TheFlaviviruses";"Flavivirus news: Gordon seeks probe on 'rushed' dengue vaccines for 500k students - Inquirer.n... https://t.co/kJ7fYAOnH4 #pathogenposse";0;2016-10-11 12:19:27.0;0;1944616879
784180386490294272;837578882;"TheFlaviviruses";"#Zika News: Hurricane adds to Zika concerns; WHO addresses Thai microcephaly cases https://t.co/kByF2sNh1O #PathogenPosse";0;2016-10-07 01:55:48.0;0;-58686517
785052398645448704;837578882;"TheFlaviviruses";"#Zika News: Two more Vietnamese contract Zika virus https://t.co/rsmy3iIKPe #PathogenPosse";0;2016-10-09 11:40:52.0;0;-832910060
784517373772517376;837578882;"TheFlaviviruses";"Flavivirus news: More Zika in the US as RNA vaccine gets funding - CIDRAP: CIDRAPMore Zika in ... https://t.co/XXsIwlJtwP #pathogenposse";0;2016-10-08 00:14:52.0;0;-1770117073
786111071853608960;837578882;"TheFlaviviruses";"#Zika News: Zika virus – All you need to know! (Watch video) https://t.co/AnRBedIQ0w #PathogenPosse";0;2016-10-12 09:47:39.0;0;-12413680
784830301058936832;837578882;"TheFlaviviruses";"#Zika News: Hurricane Matthew Could Help Zika Fight https://t.co/MTy1i0oRjl #PathogenPosse";0;2016-10-08 20:58:19.0;0;2001692701
785329152907882497;837578882;"TheFlaviviruses";"Flavivirus news: Health scare: 41 fresh dengue fever cases confirmed - The Express Tribune: Th... https://t.co/oR1WvqI2Wl #pathogenposse";0;2016-10-10 06:00:35.0;0;141979685
785597519522693120;837578882;"TheFlaviviruses";"Flavivirus news: Elgin boy dies after contracting West Nile virus, family says -... https://t.co/lrmb3vZX8b #pathogenposse";1;2016-10-10 23:46:59.0;1;1929791314
784260611014139908;837578882;"TheFlaviviruses";"#Zika News: Mexican authorities report cases of Zika linked Guillain-Barre syndrome https://t.co/SUj7zjmwg7 #PathogenPosse";0;2016-10-07 07:14:35.0;0;1157996114
785888924803616768;837578882;"TheFlaviviruses";"#Zika News: Zika Virus Skin Rash: Another Symptom of Infection? https://t.co/aUT8j0Ftxm #PathogenPosse";0;2016-10-11 19:04:55.0;0;-898022111
783805655664631808;837578882;"TheFlaviviruses";"Flavivirus news: Zika breakthrough? Scientists identify molecules that take over the immune sy... https://t.co/NbcR1EXS4T #pathogenposse";0;2016-10-06 01:06:45.0;1;6153989
785203894980706304;837578882;"TheFlaviviruses";"Flavivirus news: As Hurricane Matthew moves out, Zika could move in - Miami Herald: CNNAs Hurr... https://t.co/2VSF1GDZTT #pathogenposse";1;2016-10-09 21:42:51.0;0;-1563629675
784882741691023360;837578882;"TheFlaviviruses";"#Zika News: Zika mosquito declared No.1 enemy in Manila https://t.co/qKKEO9EHR1 #PathogenPosse";0;2016-10-09 00:26:42.0;0;1713395321
784856629007175680;837578882;"TheFlaviviruses";"#Zika News: On the Frontlines in the Fight Against Zika in Florida https://t.co/WuCqBlltyn #PathogenPosse";0;2016-10-08 22:42:56.0;0;-843565855
785857961818218496;837578882;"TheFlaviviruses";"Flavivirus news: West Nile virus: Preventive tips, common questions - https://t.co/lEHzwF45zF: ... https://t.co/Hc7jpUVKoT #pathogenposse";0;2016-10-11 17:01:53.0;0;-1442898270
785686834659545088;837578882;"TheFlaviviruses";"#Zika News: Zika virus call center now in southern AZ https://t.co/RBAZp3xDlu #PathogenPosse";0;2016-10-11 05:41:53.0;1;-1912125096
785496959721152514;837578882;"TheFlaviviruses";"#Zika News: A New Worry in Hurricane Matthew's Wake: Zika https://t.co/g9MBWh5JbM #PathogenPosse";0;2016-10-10 17:07:23.0;0;372034675
784978995259383809;837578882;"TheFlaviviruses";"#Zika News: Vietnam confirms two more Zika patients: Health Ministry https://t.co/9aqEfKEMvj #PathogenPosse";0;2016-10-09 06:49:11.0;0;-1618123025
785244011640397824;837578882;"TheFlaviviruses";"Flavivirus news: Govt urged to control dengue outbreak - Daily Times: Govt urged to control de... https://t.co/l5Z0YGflAB #pathogenposse";0;2016-10-10 00:22:16.0;0;1686205681
785450187879804928;90061805;"AdamNeira";"@TheFlaviviruses I am used to being ahead of the curve on key global issues. What will unfold with the global Zika+… https://t.co/vcN6hRokPa";0;2016-10-10 14:01:32.0;0;339375179
785823949762338817;837578882;"TheFlaviviruses";"#Zika News: Zika rising in Philippines https://t.co/8e8FCFgyI8 #PathogenPosse";1;2016-10-11 14:46:44.0;0;559796014
785737708245291008;837578882;"TheFlaviviruses";"#Zika News: Zika virus likely to affect Asia, says WHO https://t.co/eL4AZ2h9py #PathogenPosse";0;2016-10-11 09:04:02.0;0;118986852
785449822287433728;90061805;"AdamNeira";"@TheFlaviviruses These 401 LT cases of the Zika+ virus in SING indicate LT cases in INDO, MALAY, THAIL, PHIL etc. happening aswell !";0;2016-10-10 14:00:05.0;0;-398740413
785707796998172672;837578882;"TheFlaviviruses";"Flavivirus news: As Babies Stricken by Zika Turn 1, Health Problems Mount - ABC News: As Babie... https://t.co/vSPG8ApA7h #pathogenposse";0;2016-10-11 07:05:11.0;0;-327264765
785030117357596673;837578882;"TheFlaviviruses";"Flavivirus news: Why India is struggling to introduce dengue vaccines - Economic Times: Why In... https://t.co/BGydEUDi3t #pathogenposse";1;2016-10-09 10:12:19.0;0;-1011607497
